,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
267,AMBO,-1.0593408575655108,1.545,-2.6043408575655107,84500.0,0.0,0.0,-1.6856575129873856
268,AMC,4.8552591407402375,6.45,-1.5947408592597627,8587100.0,0.0,0.0,-0.24724664484647482
269,AMCA,31.76168862660967,28.69,3.0716886266096672,200.0,0.0,0.0,0.10706478308154992
270,AMCI,10.321911619103986,10.27,0.05191161910398634,0.0,0.0,0.0,0.005054685404477735
271,AMCIU,10.689428937356187,10.6,0.08942893735618718,0.0,0.0,0.0,0.008436692203413886
272,,,,,,,,
273,AMCR,10.267204414366812,10.5,-0.23279558563318759,11382600.0,0.0,0.0,-0.022171008155541676
274,AMCX,29.33591724015244,34.23,-4.8940827598475565,811000.0,0.0,0.0,-0.14297641717346063
275,AMD,52.52448918910048,52.97,-0.4455108108995205,39681700.0,0.0,0.0,-0.008410625087776487
276,AME,108.60630713459011,95.95,12.656307134590108,1351900.0,0.0,0.0,0.13190523329432108
277,AMED,180.2216989191748,177.82,2.4016989191748053,274400.0,0.0,0.0,0.013506348662550923
278,AMEH,16.158916733995433,16.2,-0.041083266004566354,109800.0,0.0,0.0,-0.0025360040743559477
279,AMG,66.49910978312549,81.72,-15.220890216874508,458500.0,0.0,0.0,-0.1862566105833885
280,AMGN,240.9413640190137,225.75,15.19136401901369,2270500.0,0.0,0.0,0.06729286387159995
281,AMH,29.28696104073505,27.96,1.3269610407350498,2492400.0,0.0,0.0,0.047459264690094774
282,AMHC,10.15153846153846,9.74,0.4115384615384592,0.0,0.0,0.0,0.042252408782182664
283,AMHCU,10.961202220923436,10.01,0.9512022209234363,0.0,0.0,0.0,0.09502519689544818
284,,,,,,,,
285,AMK,31.272286517717045,28.48,2.792286517717045,129700.0,0.0,0.0,0.09804376817826703
